Car,temp,pH,EC,TDS,GROUP
47.7,30.2,8.8,77,1.9,1
39.9,21.8,8.1,317,3.4,1
39.9,22.6,7,71,5.5,1
39.9,26,8.7,357,1.9,1
39.9,18.8,7.7,71,1.4,1
39.9,24.5,8.4,359,3.5,1
39.9,27.4,8.1,280,2.3,1
39.8,27,8.4,388,1.5,1
39.8,18.4,8.2,336,2,1
39.8,18.9,6.9,103,0.9,1
39.8,27.7,8.3,225,2.4,1
39.8,24.3,7.6,72,0.85,1
39.8,22.8,8.4,398,1.7,1
39.8,18.2,8.7,180,0.6,1
39.8,24.4,8.3,210,3,1
39.8,25.8,7.8,280,4.8,1
39.8,18.3,8.4,256,4.2,1
39.7,19,8.3,442,1.5,1
39.7,27.4,8.4,308,3.2,1
39.7,31.2,9,213,1.5,1
39.7,27.2,8.4,366,1.7,1
39.7,23.7,7.8,77,0.9,1
39.7,22.7,8,257,2.9,1
39.6,17.9,7.4,65,1.2,1
39.6,21.3,8,327,3.4,1
39.6,18,8.2,252,2,1
39.6,19.6,8.7,260,1.9,1
39.6,22.6,8.1,256,3.8,1
39.6,32.1,8.4,295,2.6,1
39.5,28.1,8.8,208,2.7,1
39.5,22.1,8.6,291,2.4,1
39.5,19.5,8.2,252,0.9,1
39.5,19.6,8.3,299,2.6,1
39.5,18.7,8.4,325,1.3,1
39.5,17.3,6.9,75,1.1,1
39.4,29.4,8.6,411,1.6,1
39.4,27.5,8.4,399,2,1
39.4,20.7,8.3,296,2.5,1
39.4,17.8,8.4,206,2.2,1
39.4,30.3,8.6,345,1.5,1
39.4,24,7.1,76,2.8,1
39.4,31.3,8.1,238,2.6,1
39.4,21.7,8.1,427,0.5,1
39.4,21.8,8.2,426,1.5,1
39.4,19.2,8.4,281,2.5,1
39.4,21.5,7,144,3.4,1
39.3,25.2,8.4,388,2.6,1
39.3,25.3,8.3,386,3.2,1
39.3,17.1,8.4,370,1,1
39.3,30.9,8,236,2.2,1
39.2,17,8.4,378,1.1,1
39.2,30,8.5,392,2.1,1
39.2,18.9,8.4,323,2.2,1
39.2,20.6,8.2,249,2,1
39.1,26.4,8.4,306,1.4,1
39.1,21.3,7.8,209,4.6,1
39.1,29.6,8.1,78,1.9,1
39.1,23.1,8.8,219,3.5,1
39.1,21.8,8.5,334,1.1,1
39,26.8,8.2,396,3.1,1
39,19.6,8.4,434,2.1,1
39,19.5,8.4,433,2.2,1
39,26.2,8.4,393,2.2,1
39,19.5,8.3,434,2.5,1
39,25.5,8.3,378,3.5,1
39,28,8.5,331,2.4,1
39,20.2,8.4,416,2.6,1
39,23.8,8.7,365,4.7,1
39,24,8.7,361,5,1
39,27.4,8.4,281,2.1,1
39,27.7,8.4,281,1.8,1
39,27.9,8.4,280,1.8,1
39,21.3,8.3,392,0.9,1
39,20.5,8.1,450,1.5,1
39,20.6,8.3,416,2,1
39,24.1,8.6,332,1.8,1
39,21.1,7.9,363,2.7,1
39,30.1,8.4,435,1.7,1
39,29.8,8.4,311,1.2,1
39,29.6,8.4,315,1,1
39,30.2,9,211,1.6,1
39,30.2,8.6,586,4.3,1
39,29,7.8,292,1.3,1
39,29.2,8.7,291,1.1,1
39,27.5,8.3,388,1.8,1
39,27.5,8.3,388,1.8,1
39,25.7,8.5,961,1.8,1
39,29.5,8,75,1.9,1
38.9,24.7,8.3,393,1.6,1
38.9,22.7,8.4,373,2.9,1
38.9,17.5,7.3,75,1.7,1
38.9,17.8,8.3,366,0.85,1
38.9,20.2,7.7,291,1,1
38.9,18.9,7.2,78,1.2,1
38.9,25.8,8.6,357,1.6,1
38.9,24.3,7,75,3.4,1
38.9,13.8,8.1,257,1.9,1
38.9,20.9,8.2,331,1.6,1
38.9,17.1,6.9,70,0.95,1
38.9,23.8,8.6,332,2,1
38.9,18.4,8.4,378,1.5,1
38.9,16.9,8.6,174,1.1,1
38.9,18.8,7.8,251,3.2,1
38.8,28.2,7.7,335,1.5,1
38.8,30,8.1,408,0.85,1
38.8,31.3,8.1,426,1.3,1
38.8,27.1,8.3,388,1.9,1
38.8,27.1,8.3,388,1.9,1
38.8,27.8,8.2,279,1.8,1
38.8,18.6,8.2,253,3,1
38.7,16.1,6.6,73,0.85,1
38.7,25,8.4,390,2.3,1
38.7,30.4,8.3,380,0.8,1
38.7,19,8.3,442,1.7,1
38.7,32.1,9.9,173,4.8,1
38.7,25.5,8.3,439,1.2,1
38.7,19.8,8.3,398,1.1,1
38.7,26.2,8.2,384,2,1
38.7,22.7,8.3,292,6.7,1
38.7,19.7,8.3,258,2,1
38.7,19.1,7.7,342,1.9,1
38.7,14.5,8.1,265,2.3,1
38.7,30.5,8.7,311,1,1
38.7,30.5,8.7,311,1,1
38.7,30.4,7.9,400,1.4,1
38.7,22.4,8.4,280,1.8,1
38.7,28,8.1,582,0.6,1
38.7,21.8,8.5,280,1.2,1
38.6,19.1,8,231,1.4,1
38.6,21.9,8.4,373,1.8,1
38.6,22.6,8.4,375,3.3,1
38.6,17.1,7.3,69,1.1,1
38.6,26.6,8,391,1.7,1
38.6,20.9,8.6,268,1.3,1
38.6,27.4,8.4,364,1.1,1
38.6,26.8,7.4,71,1.9,1
38.6,20.5,8.4,286,4.3,1
38.5,24.1,8.4,319,4.7,1
38.5,20.4,8,315,3,1
38.5,21.4,7.4,214,2.3,1
38.4,17.9,7.1,64,1,1
38.4,22.8,8.3,425,1.7,1
38.4,26.6,8.1,388,1.7,1
38.4,18.3,8.2,291,1.5,1
38.4,18.9,7,78,1.4,1
38.4,21.8,8.2,331,1.3,1
38.4,28.9,8.1,209,8.5,1
38.4,31.8,8.2,290,2.3,1
38.3,29.6,8.4,322,1.5,1
38.3,22.6,7.3,153,3,1
38.3,23.7,8.1,76,1.1,1
38.3,17.8,7.3,70,1.3,1
38.3,18.9,8.2,247,1.2,1
38.3,14.1,8.2,248,1.4,1
38.3,27,8.3,388,2,1
38.3,21.7,8,209,4.3,1
38.3,25.2,6.5,129,1.4,1
38.2,23.5,7.8,89,1,1
38.2,26.8,8.1,421,1.5,1
38.2,18.9,7,76,1.1,1
38.2,19.1,8.1,211,6.8,1
38.1,17.7,7.3,65,0.8,1
38.1,18.5,8.3,252,1.2,1
38.1,19,8.3,442,2.1,1
38.1,29.6,8.1,383,0.8,1
38.1,23.8,8.2,426,1.7,1
38.1,30.4,8.7,316,1.1,1
38.1,30.4,8.7,316,1.1,1
38,19.7,8.4,434,2.6,1
38,23.5,8.3,472,1.4,1
38,16.6,8,272,1.9,1
38,21.6,8.3,315,0.7,1
38,27.1,8.2,385,1.8,1
38,16.5,7.8,392,2,1
38,26,8.3,396,1.6,1
38,27.6,8.2,387,2,1
38,25.9,8.4,375,1.6,1
38,28.2,8.5,371,1.9,1
38,28.4,8.4,371,1.6,1
38,21.6,8.4,394,1.3,1
38,29.6,8.6,301,1.5,1
38,30.2,8.6,320,1.2,1
38,25.5,8.4,388,2.3,1
38,23.8,8.3,86,1.3,1
38,24.9,8.3,417,1.2,1
38,22.5,8,318,1.9,1
38,19.2,8.4,430,1.3,1
38,24.3,8.3,400,1.6,1
38,29.6,8,383,0.75,1
38,24.7,7.1,74,3.5,1
38,21.8,8.4,275,1.3,1
38,25.5,6.4,128,1.8,1
38,22.3,8.4,398,2.2,1
38,18.9,8,350,1.8,1
37.9,30.8,8.5,339,2.5,1
37.9,19.2,8.3,396,2.8,1
37.9,27.3,8.2,355,2.6,1
37.9,23.9,7,84,3.8,1
37.9,26.8,8.4,390,1.6,1
37.9,13.5,8.1,258,1.9,1
37.9,23.5,7.9,218,5,1
