time,tds,temp,ec,pH
2017/9/11 19:13:00,7.8,31,145.7,6.3066
2017/9/11 19:13:01,7.8,31,145.5,6.3066
2017/9/11 19:13:02,7.8,31,146,6.3078
2017/9/11 19:13:03,7.9,31,146.3,6.3128
2017/9/11 19:13:04,7.9,31,146.6,6.3013
2017/9/11 19:13:05,7.9,31,146.9,6.2923
2017/9/11 19:13:06,7.9,31,147,6.3019
2017/9/11 19:13:08,7.9,31,147,6.3075
2017/9/11 19:13:09,7.9,31,147.1,6.3095
2017/9/11 19:13:10,7.9,31,147.1,6.3075
2017/9/11 19:13:11,7.9,31,147.1,6.2867
2017/9/11 19:13:12,7.9,31,147.1,6.2972
2017/9/11 19:13:13,7.9,31,147.1,6.306
2017/9/11 19:13:14,7.9,31,147.1,6.3081
2017/9/11 19:13:15,7.9,31,147.1,6.3101
2017/9/11 19:13:16,7.9,31,147.1,6.2981
2017/9/11 19:13:17,7.9,31,147.1,6.2899
2017/9/11 19:13:18,7.9,31,147.1,6.3046
2017/9/11 19:13:19,7.9,31,147.1,6.3046
2017/9/11 19:13:20,7.9,31,147.1,6.3069
2017/9/11 19:13:21,7.9,31,147,6.3095
2017/9/11 19:13:22,7.9,31,147.1,6.3101
2017/9/11 19:13:23,7.9,31,147.1,6.2896
2017/9/11 19:13:24,7.9,31,147,6.2896
2017/9/11 19:13:25,7.9,31,147,6.2978
2017/9/11 19:13:26,7.9,31,146.9,6.3046
2017/9/11 19:13:27,7.9,31,146.9,6.3057
2017/9/11 19:13:28,7.9,31,146.9,6.309
2017/9/11 19:13:29,7.9,31,146.9,6.2975
2017/9/11 19:13:30,7.9,31,146.9,6.2893
2017/9/11 19:13:31,7.9,31,146.9,6.3028
2017/9/11 19:13:33,7.9,31,146.8,6.3069
2017/9/11 19:13:34,7.9,31,146.8,6.3066
2017/9/11 19:13:35,7.9,31,146.8,6.3113
2017/9/11 19:13:36,7.9,31,146.8,6.2879
2017/9/11 19:13:37,7.9,31,146.8,6.2964
2017/9/11 19:13:38,7.9,31,146.8,6.2964
2017/9/11 19:13:39,7.9,31,146.8,6.3046
2017/9/11 19:13:40,7.9,31,146.9,6.3072
2017/9/11 19:13:41,7.9,31,147,6.3107
2017/9/11 19:13:42,7.9,31,147,6.2993
2017/9/11 19:13:43,7.9,31,147,6.2882
2017/9/11 19:13:44,7.9,31,147,6.2996
2017/9/11 19:13:45,7.9,31,146.9,6.3049
2017/9/11 19:13:46,7.9,31,147,6.3063
2017/9/11 19:13:47,7.9,31,147,6.3092
2017/9/11 19:13:48,7.9,31,146.9,6.2896
2017/9/11 19:13:49,7.9,31,147,6.2943
2017/9/11 19:13:50,7.9,31,147,6.3031
2017/9/11 19:13:51,7.9,31,147,6.3066
2017/9/11 19:13:52,7.9,31,147,6.3095
2017/9/11 19:13:53,7.9,31,147,6.3016
2017/9/11 19:13:54,7.9,31,147,6.3016
2017/9/11 19:13:55,7.9,31,147.1,6.2879
2017/9/11 19:13:57,7.9,31,147.1,6.3008
2017/9/11 19:13:58,7.9,31,146.8,6.3028
2017/9/11 19:13:59,7.9,31,146.4,6.3025
2017/9/11 19:14:00,7.9,31,146.1,6.3063
2017/9/11 19:14:01,7.9,31,145.8,6.2867
2017/9/11 19:14:02,7.9,31,145.7,6.2943
2017/9/11 19:14:03,7.9,31,146.1,6.3051
2017/9/11 19:14:04,7.9,31,146.4,6.3028
2017/9/11 19:14:05,7.9,31,146.6,6.3051
2017/9/11 19:14:06,7.9,31,147,6.299
2017/9/11 19:14:07,7.9,31,147,6.2847
2017/9/11 19:14:08,7.9,31,147,6.2967
2017/9/11 19:14:09,7.9,31,147,6.2999
2017/9/11 19:14:10,7.9,31,147,6.3049
2017/9/11 19:14:11,7.9,31,146.9,6.3098
2017/9/11 19:14:12,7.9,31,146.8,6.3098
2017/9/11 19:14:13,7.9,31,146.8,6.287
2017/9/11 19:14:14,7.9,31,146.8,6.2911
2017/9/11 19:14:15,7.9,31,146.8,6.3016
2017/9/11 19:14:16,7.9,31,146.8,6.3063
2017/9/11 19:14:17,7.9,31,146.8,6.3078
2017/9/11 19:14:18,7.9,31,146.8,6.3022
2017/9/11 19:14:19,7.9,31,146.9,6.2823
2017/9/11 19:14:20,7.9,31,146.9,6.2955
2017/9/11 19:14:22,7.9,31,146.9,6.2955
2017/9/11 19:14:23,7.9,31,147,6.2952
2017/9/11 19:14:24,7.9,31,147,6.2902
2017/9/11 19:14:25,7.9,31,147,6.2773
2017/9/11 19:14:26,7.9,31,147.1,6.2864
2017/9/11 19:14:27,7.9,31,147,6.2914
2017/9/11 19:14:28,7.9,31,147,6.2914
2017/9/11 19:14:29,7.9,31,147,6.2949
2017/9/11 19:14:30,7.9,31,147,6.2773
2017/9/11 19:14:31,7.9,31,147,6.2817
2017/9/11 19:14:32,7.9,31,147,6.2902
2017/9/11 19:14:33,7.9,31,147,6.2926
2017/9/11 19:14:34,7.9,31,147,6.2987
2017/9/11 19:14:35,7.9,31,147,6.2917
2017/9/11 19:14:36,7.9,31,147,6.2753
2017/9/11 19:14:37,7.9,31,147,6.2829
2017/9/11 19:14:38,7.9,31,147.1,6.2829
2017/9/11 19:14:39,7.9,31,147,6.2899
2017/9/11 19:14:40,7.9,31,146.9,6.2911
2017/9/11 19:14:41,7.9,31,146.9,6.2943
2017/9/11 19:14:42,7.9,31,147,6.2762
2017/9/11 19:14:43,7.9,31,147.1,6.2765
2017/9/11 19:14:44,7.9,31,147.1,6.289
2017/9/11 19:14:46,7.9,31,147.1,6.2937
2017/9/11 19:14:47,7.9,31,147.1,6.297
2017/9/11 19:14:48,7.9,31,146.9,6.2888
2017/9/11 19:14:49,7.9,31,146.9,6.2738
2017/9/11 19:14:50,7.9,31,146.8,6.2823
2017/9/11 19:14:51,7.9,31,146.8,6.2882
2017/9/11 19:14:52,7.9,31,146.8,6.2931
2017/9/11 19:14:53,7.9,31,146.8,6.2958
2017/9/11 19:14:54,7.9,31,146.8,6.2779
2017/9/11 19:14:55,7.9,31,146.8,6.2779
2017/9/11 19:14:56,7.9,31,146.8,6.2735
2017/9/11 19:14:57,7.9,31,146.9,6.2905
2017/9/11 19:14:58,7.9,31,146.9,6.2914
2017/9/11 19:14:59,7.9,31,146.9,6.2934
2017/9/11 19:15:00,7.9,31,146.9,6.2893
2017/9/11 19:15:01,7.9,31,147,6.2732
2017/9/11 19:15:02,7.9,31,147,6.2732
2017/9/11 19:15:03,7.9,31,147,6.2835
2017/9/11 19:15:04,7.9,31,147,6.2888
2017/9/11 19:15:05,7.9,31,147,6.2949
2017/9/11 19:15:06,7.9,31,146.9,6.2964
2017/9/11 19:15:07,7.9,31,146.9,6.2759
2017/9/11 19:15:09,7.9,31,146.9,6.2738
2017/9/11 19:15:10,7.9,31,146.9,6.2879
2017/9/11 19:15:11,7.9,31,146.9,6.2905
2017/9/11 19:15:12,7.9,31,146.9,6.2914
2017/9/11 19:15:13,7.9,31,146.8,6.2914
2017/9/11 19:15:14,7.9,31,146.8,6.2902
2017/9/11 19:15:15,7.9,31,146.8,6.2902
2017/9/11 19:15:16,7.9,31,146.8,6.2738
2017/9/11 19:15:17,7.9,31,146.8,6.2823
2017/9/11 19:15:18,7.9,31,146.9,6.2849
2017/9/11 19:15:19,7.9,31,146.9,6.2882
2017/9/11 19:15:20,7.9,31,147,6.2931
2017/9/11 19:15:21,7.9,31,147,6.2756
2017/9/11 19:15:22,7.9,31,147.1,6.2729
2017/9/11 19:15:23,7.9,31,147.1,6.2858
2017/9/11 19:15:24,7.9,31,147.1,6.2931
2017/9/11 19:15:25,7.9,31,147,6.2911
2017/9/11 19:15:26,7.9,31,147,6.289
2017/9/11 19:15:27,7.9,31,147,6.2703
2017/9/11 19:15:28,7.9,31,147,6.28
2017/9/11 19:15:29,7.9,31,147,6.2867
2017/9/11 19:15:30,7.9,31,147,6.2867
2017/9/11 19:15:31,7.9,31,147,6.2902
2017/9/11 19:15:32,7.9,31,147,6.2902
2017/9/11 19:15:33,7.9,31,147.1,6.277
2017/9/11 19:15:35,7.9,31,147.1,6.2729
2017/9/11 19:15:36,7.9,31,147,6.2867
2017/9/11 19:15:37,7.9,31,147,6.2876
2017/9/11 19:15:38,7.9,31,147,6.289
2017/9/11 19:15:39,7.9,31,147,6.2882
2017/9/11 19:15:40,7.9,31,146.9,6.2694
2017/9/11 19:15:41,7.9,31,146.8,6.2803
2017/9/11 19:15:42,7.9,31,146.8,6.2876
2017/9/11 19:15:43,7.9,31,146.8,6.2893
2017/9/11 19:15:44,7.9,31,146.9,6.2908
2017/9/11 19:15:45,7.9,31,146.9,6.2756
2017/9/11 19:15:46,7.9,31,146.9,6.2712
2017/9/11 19:15:47,7.9,31,146.9,6.2823
2017/9/11 19:15:48,7.9,31,146.9,6.287
2017/9/11 19:15:49,7.9,31,146.9,6.287
2017/9/11 19:15:50,7.9,31,147,6.2899
2017/9/11 19:15:51,7.9,31,146.9,6.2896
2017/9/11 19:15:52,7.9,31,146.9,6.268
2017/9/11 19:15:53,7.9,31,147,6.2765
2017/9/11 19:15:54,7.9,31,147,6.2858
2017/9/11 19:15:55,7.9,31,147,6.2867
2017/9/11 19:15:56,7.9,31,147,6.2905
2017/9/11 19:15:57,7.9,31,146.9,6.2759
2017/9/11 19:15:59,7.9,31,146.9,6.27
2017/9/11 19:16:00,7.9,31,146.9,6.2826
2017/9/11 19:16:01,7.9,31,146.8,6.2855
2017/9/11 19:16:02,7.9,31,146.9,6.2882
2017/9/11 19:16:03,7.9,31,146.9,6.2905
2017/9/11 19:16:04,7.9,31,147,6.2659
2017/9/11 19:16:05,7.9,31,147,6.2747
2017/9/11 19:16:06,7.9,31,147,6.2823
2017/9/11 19:16:07,7.9,31,147,6.2823
2017/9/11 19:16:08,7.9,31,147,6.2852
2017/9/11 19:16:09,7.9,31,147.1,6.2876
2017/9/11 19:16:10,7.9,31,147.1,6.2776
2017/9/11 19:16:11,7.9,31,147.1,6.27
2017/9/11 19:16:12,7.9,31,147.1,6.27
2017/9/11 19:16:13,7.9,31,147.1,6.2832
2017/9/11 19:16:14,7.9,31,147,6.2847
2017/9/11 19:16:15,7.9,31,146.9,6.287
2017/9/11 19:16:16,7.9,31,146.9,6.289
2017/9/11 19:16:17,7.9,31,146.9,6.265
2017/9/11 19:16:18,7.9,31,146.9,6.2747
2017/9/11 19:16:19,7.9,31,146.9,6.2826
2017/9/11 19:16:20,7.9,31,146.8,6.2832
2017/9/11 19:16:21,7.9,31,146.8,6.2899
2017/9/11 19:16:22,7.9,31,146.7,6.2806
2017/9/11 19:16:24,7.9,31,146.7,6.2686
2017/9/11 19:16:25,7.9,31,146.7,6.2814
2017/9/11 19:16:26,7.9,31,146.8,6.2814
2017/9/11 19:16:27,7.9,31,146.9,6.2838
2017/9/11 19:16:28,7.9,31,147,6.2873
2017/9/11 19:16:29,7.9,31,147,6.2908
2017/9/11 19:16:30,7.9,31,147,6.268
2017/9/11 19:16:31,7.9,31,147.1,6.2738
2017/9/11 19:16:32,7.9,31,147,6.2838
2017/9/11 19:16:33,7.9,31,147.1,6.2861
2017/9/11 19:16:34,7.9,31,147.1,6.2911
2017/9/11 19:16:35,7.9,31,147,6.2817
2017/9/11 19:16:36,7.9,31,147,6.2686
2017/9/11 19:16:37,7.9,31,147,6.2797
2017/9/11 19:16:38,7.9,31,147,6.2817
2017/9/11 19:16:39,7.9,31,147,6.2835
2017/9/11 19:16:40,7.9,31,147,6.2905
2017/9/11 19:16:41,7.9,31,147.1,6.2697
2017/9/11 19:16:42,7.9,31,147.1,6.2697
2017/9/11 19:16:43,7.9,31,147.1,6.2718
2017/9/11 19:16:44,7.9,31,147.1,6.2852
2017/9/11 19:16:45,7.9,31,147.1,6.2844
2017/9/11 19:16:46,7.9,31,147,6.2888
2017/9/11 19:16:48,7.9,31,147,6.2794
2017/9/11 19:16:49,7.9,31,146.9,6.2683
2017/9/11 19:16:50,7.9,31,146.9,6.282
2017/9/11 19:16:51,7.9,31,146.9,6.2844
2017/9/11 19:16:52,7.9,31,146.9,6.287
2017/9/11 19:16:53,7.9,31,146.9,6.2905
2017/9/11 19:16:54,7.9,31,146.9,6.2677
2017/9/11 19:16:55,7.9,31,146.9,6.2709
2017/9/11 19:16:56,7.9,31,146.8,6.2838
2017/9/11 19:16:57,7.9,31,146.7,6.2829
2017/9/11 19:16:58,7.9,31,146.4,6.2882
2017/9/11 19:16:59,7.9,31,146,6.2808
2017/9/11 19:17:00,7.9,31,145.7,6.2808
2017/9/11 19:17:01,7.9,31,145.4,6.2665
2017/9/11 19:17:02,7.9,31,145.6,6.2788
2017/9/11 19:17:03,7.9,31,145.9,6.2829
2017/9/11 19:17:04,7.9,31,146.1,6.2885
2017/9/11 19:17:05,7.9,31,146.5,6.289
2017/9/11 19:17:06,7.9,31,146.7,6.2691
2017/9/11 19:17:07,7.9,31,146.8,6.2697
2017/9/11 19:17:08,7.9,31,146.8,6.2814
2017/9/11 19:17:09,7.9,31,146.8,6.2852
2017/9/11 19:17:10,7.9,31,146.9,6.2896
2017/9/11 19:17:12,7.9,31,146.9,6.2811
2017/9/11 19:17:13,7.9,31,146.9,6.2642
2017/9/11 19:17:14,7.9,31,146.9,6.2791
2017/9/11 19:17:15,7.9,31,146.9,6.2808
2017/9/11 19:17:16,7.9,31,146.9,6.2829
2017/9/11 19:17:17,7.9,31,146.9,6.2849
2017/9/11 19:17:18,7.9,31,146.9,6.2849
