time,pH,TDS,EC,temp
2017/9/4 12:01:52,7.0584,6.4,150.6,27.44
2017/9/4 12:01:53,7.0561,6.4,150.6,27.44
2017/9/4 12:01:54,7.0561,6.4,150.7,27.44
2017/9/4 12:01:55,7.0604,6.4,150.7,27.44
2017/9/4 12:01:56,7.0576,6.4,150.7,27.44
2017/9/4 12:01:57,7.059,6.4,150.6,27.44
2017/9/4 12:01:58,7.059,6.4,150.6,27.44
2017/9/4 12:01:59,7.0578,6.4,150.5,27.44
2017/9/4 12:02:00,7.0578,6.4,150.5,27.44
2017/9/4 12:02:02,7.0587,6.4,150.6,27.44
2017/9/4 12:02:03,7.0587,6.4,150.7,27.5
2017/9/4 12:02:04,7.059,6.4,150.7,27.5
2017/9/4 12:02:05,7.0584,6.4,150.7,27.5
2017/9/4 12:02:06,7.0578,6.4,150.7,27.5
2017/9/4 12:02:07,7.0593,6.4,150.7,27.5
2017/9/4 12:02:08,7.059,6.4,150.7,27.5
2017/9/4 12:02:09,7.0595,6.4,150.7,27.5
2017/9/4 12:02:10,7.0581,6.4,150.6,27.5
2017/9/4 12:02:11,7.0587,6.4,150.6,27.5
2017/9/4 12:02:13,7.059,6.4,150.7,27.5
2017/9/4 12:02:14,7.0578,6.4,150.6,27.5
2017/9/4 12:02:15,7.0581,6.4,150.6,27.5
2017/9/4 12:02:16,7.0581,6.4,150.4,27.5
2017/9/4 12:02:17,7.0561,6.4,150.3,27.5
2017/9/4 12:02:18,7.0595,6.4,150.3,27.5
2017/9/4 12:02:19,7.0598,6.4,150.4,27.5
2017/9/4 12:02:20,7.0593,6.4,150.6,27.5
2017/9/4 12:02:21,7.0581,6.4,150.7,27.5
2017/9/4 12:02:22,7.0578,6.4,150.7,27.5
2017/9/4 12:02:23,7.0573,6.4,150.7,27.5
2017/9/4 12:02:24,7.0587,6.4,150.7,27.5
2017/9/4 12:02:25,7.0584,6.4,150.7,27.5
2017/9/4 12:02:26,7.0581,6.4,150.7,27.5
2017/9/4 12:02:28,7.057,6.4,150.7,27.5
2017/9/4 12:02:29,7.0587,6.4,150.7,27.5
2017/9/4 12:02:30,7.0564,6.4,150.6,27.5
2017/9/4 12:02:31,7.0593,6.4,150.7,27.5
