"name","time","Car","temp","pH","EC","t","chlla","S","TDS","GROUP"
"阿公店水庫一","2017/2/16 上午 10:30:00",51,"21.8","8.3","447","0.8","2.6","0.026","8.4",3
"阿公店水庫二","2017/2/16 上午 10:45:00",52,"21.6","8.3","429","0.7","2.4","0.028","8.9",3
"阿公店水庫三","2017/2/16 上午 11:05:00",53,"21.6","8.3","423","0.6","2.7","0.029","11",3
"新山水庫一","2017/4/6 上午 09:07:00",49,"20.9","9","143","2","11.1","0.016","2.4",2
"新山水庫一","2017/3/2 上午 08:54:00",48,"16","7.3","143","2.1","8.8","0.016","1.7",2
"新山水庫一","2017/2/6 上午 08:50:00",50,"17.1","7","144","2.4","15.3","0.019","2.2",2
"新山水庫一","2017/1/4 上午 08:59:00",50,"19.8","7.8","136","2.4","7.3","0.03","1.8",2
"新山水庫二","2017/4/6 上午 09:16:00",49,"21.1","9","142","1.8","10.3","0.015","1.7",2
"新山水庫二","2017/3/2 上午 09:03:00",49,"16.1","7.4","149","1.9","8.8","0.016","1.6",2
"新山水庫二","2017/2/6 上午 09:02:00",51,"17.5","7.2","141","2.6","16.8","0.021","2.1",3
"新山水庫二","2017/1/4 上午 09:15:00",50,"19.8","7.6","135","2.3","7.1","0.026","2",2
"西勢水庫","2017/2/6 上午 10:43:00",50,"17.6","7","85","2.1","14.7","0.017","1.5",2
"石門水庫一","2017/4/7 上午 11:14:00",46,"20.6","7.7","243","2.4","4","0.019","4.8",2
"石門水庫一","2017/3/9 上午 11:34:00",56,"16.3","7.7","234","0.7","5","0.035","15",3
"石門水庫一","2017/2/7 上午 11:13:00",47,"18.2","7.1","231","1.4","2.5","0.018","4",2
"石門水庫一","2017/1/6 上午 11:22:00",46,"20.1","7.2","212","3.4","7","0.017","2.9",2
"石門水庫二","2017/4/7 上午 11:00:00",42,"20.9","7.6","244","2.6","2.9","0.012","4",2
"石門水庫二","2017/3/9 上午 11:23:00",54,"16.4","7.8","235","0.7","3.1","0.033","13",3
